compiler,nodes,cores,batch_size,nodes,cores,batch_size,mean_waiting_time,mean_service_time,mean_total_time
C2,1,2,64,1.0,2.0,64.0,4525.992512106895,1741.9205417235692,6267.913053830464
GraalVM,1,2,64,1.0,2.0,64.0,4108.44834784099,1684.7108579022545,5793.1592057432445
