,df,sum_sq,mean_sq,F,PR(>F)
C(compiler),1.0,1199.3173836057479,1199.3173836057479,4.97248589782501,0.02926865491999845
C(nodes),3.0,24957.70315873477,8319.234386244923,34.49235059191176,2.1913708734897123e-13
C(cores),1.0,34897.381399200734,34897.381399200734,144.6879193536229,4.442899483629918e-18
C(compiler):C(nodes),3.0,1562.165359435307,520.7217864784357,2.158962902855282,0.10150744829287002
C(compiler):C(cores),1.0,16.135818569302725,16.135818569302725,0.06690066481359071,0.7967340935908476
C(nodes):C(cores),3.0,9286.472647514856,3095.490882504952,12.834204665511361,1.1541012802985767e-06
C(compiler):C(nodes):C(cores),3.0,296.8191907292439,98.93973024308131,0.4102136933004384,0.7461999345964248
Residual,64.0,15436.205175431762,241.19070586612128,,
