compiler,nodes,cores,batch_size,runtime,accuracy
C2,1,2,64,226.677497149,0.900900006294
C2,1,2,64,214.130087137,0.902700006962
C2,1,2,64,219.947654009,0.903999984264
C2,1,2,64,221.342520952,0.902700006962
C2,1,2,64,219.78106308,0.902000010014
GraalVM,1,2,64,231.5854671,0.902599990368
GraalVM,1,2,64,259.566390991,0.901099979877
GraalVM,1,2,64,221.240629196,0.903500020504
GraalVM,1,2,64,223.934537172,0.901099979877
GraalVM,1,2,64,225.603296995,0.901099979877
